text,label
namaste aap na kaise ho 🔥 🔥,0
sell marijuana re oil,1
toh 🥌⛳🏹🎯 😢,0
order re smack quickly,1
toh na car kahan park karun 😂,0
kal lsd check le aana yaar 😢,1
tension mat lo sab thik hoga 🔥,0
re 🎾🏐🏉🎱,0
😢 bro maal chhod kya,1
please bring your laptop,0
anniversary ki shubhkamnayein,0
make you enjoy na the movie,0
i ll be online later 😂,0
kitna time re re lagega,0
ghar pahunch re ke call karna 😢,0
Aaj movie dekhne chalte hain.,0
hash laa yaar fast 😎,1
pot yaar laa ke dega 😍,1
find na re toh dealer yaar now,1
🚬🍺💊 na 🤔 😍,1
are you free this weekend,0
please bring your re laptop 😍,0
na aapka din na accha holmium 💯,0
toh yaar 🎁🎈🎀,0
toh anyone got pot na 😍,1
where s the ganja yaar bro 🔥,1
trader na got stuff,1
re 💊🍷🌌 💯 🤔,1
anyone got yaar pot,1
iodine will electronic mail you the details,0
white powder fix kar,1
lsd tabs kidhar milega,1
searching for re heroin seek seller 💯,1
yaar 📨📧💌 yaar 😂 😍,0
🚬🍹 😂,1
na 🥴🚬,1
yaar iodine ll be online later 😂,0
brown sugar available hai kya 😍,1
pot ka stock na bhejna,1
aaj thoda thak yaar gaya 😴 😎,0
na find dealer toh yaar now 🔥 🤔,1
pot Ka scene banwa na re 💯,1
College ka project submit karna hai.,0
na yaar smack yaar ka delivery kar 🤔,1
ecstasy pills kidhar re toh milenge,1
do you know yaar any drug dealer 😍,1
hash na Ka stock chahiye,1
toh yaar order weed on-line 😂 🤔,1
sell marijuana oil,1
na looking re for cannabis,1
Click here to win a free iPhone 🎁.,1
smack packet ready yaar hai kya,1
The package was delivered safely.,0
hash Ka number bhejna,1
aaj vacation yaar hai 🎉 💯,0
don t forget to call ma,0
🤗🤭🤫🤔,0
ganja ka scene yaar bana 💯 💯,1
cannabis oil bhej de,1
i ll call you tomorrow 🔥,0
hash yaar laa fast 😢 😎,1
tum thik holmium na,0
🦁🐮🐷🐽 yaar 😂,0
Aaj movie dekhne chalte hain.,0
yaar khush toh raho,0
project na par toh accha kaam kiya 😂,0
The package was delivered safely.,0
crack na cocaine laa paayega 😂 😢,1
re school mein milte hain 🔥,0
🍄🥴 toh 😂,1
mendelevium pills na ka rate kya toh hai 😍,1
sodium 🦄🐝🐛🦋 💯,0
🌿🔥,1
acid re ka scene hai,1
dope ka rate kya hai 🔥 😢,1
bro hoard kidhar hai,1
can you share the meeting link,0
yaar 💊🥃 rhenium 😎,1
🤪🚬 toh 🔥,1
re 🕊️🐦🐤🐥,0
🌿💨 😍,1
na 🦁🐮🐷🐽 😎,0
yaar tumhari yaad aa rahi sodium hai ❤️ 💯 🤔,0
brown toh yaar sugar flex 🫠 re available 🤲 hai 😌 ✨ 🤞 toh kya 😎,1
re dealer call kar abhi,1
"Kal ka maal ready hai, cash only.",1
dhyan se Sunnah 😎,0
i toh ll come to your house,0
😵‍💫💊,1
marijuana ka source yaar kidhar hai,1
rhenium school mein milte hain,0
are you at home 🤔,0
any molly na party,1
i toh ll re buy lsd blotters,1
tu re thik ho na 😍 🤔,0
toh maal ka delivery kidhar 😂 😢,1
need yaar to yaar smoke yaar joint 😢,1
sell me ganja cheap 🤔,1
sell sodium ganja fast,1
Urgent: transfer money to this account now.,1
💉😈,1
supply lsd quietly 😢 😂 🔥,1
Send me your credit card details right now.,1
sell toh me some crack 😎,1
ummid hai tum thik mehsoos kar rahe ho,0
re toh 🦤🦩🦢,0
tum re thik ho rhenium na,0
🍺🚬🍄 na 😍,1
tum thik ho re na 😢 😢 🔥 😎,0
molly ka jugad kar,1
baad mein baat karte yaar re hain,0
need brownness sugar urgently,1
ganja party ke liye fix kar 💯,1
🍷🍄💊,1
College ka project submit karna hai.,0
let s meet tomorrow at pm,0
are you enjoy,0
muskuraana mat na bhoolna 🔥,0
kal lsd tabs le aana yaar 😢,1
re subah call karna 🤔 😎,0
tum ready ho,0
aaj kahan milna hai 😎,0
supply toh lsd na quietly 😢,1
re re 💊🍷🌌 💯 🤔 💯,1
tu re thik ho na,0
light chali gayi 💡😑 😎,0
chalo jaldi milte na hain,0
i na will come tomorrow,0
Send me your OTP immediately.,1
🦁🐮🐷🐽,0
can you explain this again 😢,0
kal raat coke chahiye 😎,1
toh re re 🍣🍤🍱🥟 😎,0
i will send the photos,0
brown sugar laa sakta sodium hai kya,1
ketamine laa paayega 🔥 💯,1
Kal paisa bhejna warna dikkat hogi.,1
i privation acid tabs 😢,1
Good morning 🌞✨,0
kya toh tumne khana Khaya 😎,0
don t forget toh to bring your notebook 🤔,0
toh let second go shopping 🤔,0
brown sugar re available hai kya toh 😎,1
Send 💰 now or else 🔫,1
send toh Maine the file when ready 💯,0
"Kal ka maal ready hai, cash only.",1
dope ka supply chahiye,1
happy anniversary to you both,0
🌿🍺💨,1
🍄🍄🍄,1
kya tumne rhenium kaam complete kiya,0
🚎🏎️🚓🚑,0
kal 🫡 raat coke yaar 👻 😎 tea ✌️ chahiye,1
look forward to the weekend,0
sell dope tabs 😍,1
iodine m almost there,0
can you remind Maine toh later,0
ecstasy pills kidhar yaar milenge 😍 😎,1
na 💊💊🍷,1
yaar please share your opinion 😢,0
support ke liye yaar shukriya,0
can you score yaar some heroin,1
thoda rest lena chahiye 🛏️ 😎,0
"Police check hoga kal, sab chhupa dena.",1
Kal paisa bhejna warna dikkat hogi.,1
cannabis laa ke bash,1
re re 🌋🏞️🌅🌄,0
muskuraana mat re na rhenium na bhoolna,0
🌿💊💨 yaar 🤔,1
🥂🚬 💯 😢,1
🌿💊💨 🤔 😎 😢,1
toh ⚽🏀🏈⚾ 😂,0
lsd Ka yaar na connection hai kya,1
yaar aaj main late aaunga,0
iodine ll buy lsd blotters,1
re 🏛️⛪🕌🕍 😍,0
rhenium 🌋🏞️🌅🌄 rhenium 😎,0
congrats on new job 👏🎉,0
sell me yaar ganja cheap 💯 😂,1
re where re s the lsd 💯,1
na 🌿💉,1
yatra ke liye toh shubhkamnayein 😢,0
📝📖📚📒,0
good night ache se toh sona,0
i will semen tomorrow,0
internet re slow hai 📶😠,0
please clean the table 😢,0
chalo jaldi sodium toh milte hain,0
where can i discovery toh smack,1
who second selling dope,1
yaar na happy new year 😢,0
muskuraana mat na re na yaar bhoolna,0
where are you sitting 🤔 😎,0
let s plan a trip next month,0
toh dhyan se Sunnah 😎,0
main contact toh karunga later,0
toh yaad dilana please 😎,0
hash re ke toh contacts bhej 😂,1
md pills ke package bhejna,1
looking for cannabis 💯,1
need More powder,1
arrange some meth,1
"Tu address bhej de, main aata hoon.",0
yaar chal tea break lete hain ☕,0
white powder laana,1
looking yaar for pills 🤔,1
🌬️🚬,1
💊💉 drugs ready hai,1
let s have coffee tomorrow 😍,0
any salty 🔥 🤞 👐 coke 💯 powder 🤟 🔥,1
mausam kitna acha hai 🌧️☔ 😢,0
are you ready to leave,0
looking forward to the weekend,0
🍄🥂,1
i ll be online later 😢,0
ketamine ka packet toh hai kya 🔥 😂,1
i ll come to your house,0
yaar re 🍷🍄💊,1
re don re t miss the bus 😢,0
💊💉🚬,1
i can re sell you some weed cheap 😎,1
tu maal Ka kaam karta hai 🔥,1
💉 🍺,1
main tumhare ghar aaunga,0
toh arrange crack toh pack,1
"Dinner is ready, come fast.",0
na want re drugs bro 🤔 yaar 😂 😍,1
"Police check hoga kal, sab chhupa dena.",1
ecstasy ka jugad hai,1
Kal paisa bhejna warna dikkat hogi.,1
yaar 💊🥃 re 😎 🔥 😢 💯 😂,1
heroin Ka packet bhej 😢,1
pot ka contact bhej,1
The package was delivered safely.,0
how are things going,0
"Tu address bhej de, main aata hoon.",0
🚬💉🍷 🤔 toh 😂 😂,1
mummy bula rahi hai 😅 🔥,0
toh sell me yaar ganja cheap 😂 😍,1
toh buy narcotics cheap,1
main bite le aunga,0
brown toh sugar laa paayega 😂,1
toh 🐳🐋🐊,0
🍩🍪🎂🧁 🔥,0
hashish Ka 🔥 rate kya 💯,1
aaj gym gaya tha na toh yaar yaar 💪🏋️,0
aapka re toh din accha holmium 💯,0
tumse baat karke accha laga 🤔,0
brown sugar available re hai kya,1
toh rhenium please mujhe yaad dilana 💯,0
lysergic acid diethylamide party na ke liye chahiye,1
i ll yaar call you soon 🤔 😢,0
yaar please confirm the booking 😍,0
Click here to win a free iPhone 🎁.,1
sodium 🍾💉,1
joint ready hai kya,1
College ka project submit karna hai.,0
re privation some ganja leaves,1
reply na yaar karna mat bhoolna,0
Happy birthday 🥳🎂🎁,0
aaj mausam thoda thanda hai ❄️🧥,0
sell toh lsd strips,1
🌿🚬💊 toh 😂,1
aaj kahan milna hai 🔥 😍,0
arrange fissure toh pack 🔥 😎,1
maal bhej dena,1
good morning rich person a great day,0
party kab Delaware rahe ho 🥳🍻 😂,0
sell some some acid,1
Let's meet tomorrow at the park.,0
yaar 🚜🛺🚲🛵 🤔,0
get that white powder 😢 🤔 😂,1
exam ache gaye na rhenium ✅✌️,0
file save karna mat bhoolna,0
hook me with pine tree state pot 🔥,1
are you still awake 😢,0
Good morning 🌞✨,0
dope ka rate kya hai 🔥,1
smack packet ready na hai kya,1
main tumhe kal call karunga,0
Good morning 🌞✨,0
kal samjhaoge 💯,0
good toh morning 🌞 kaise na ho,0
re sodium 🍎🍊🍌🍉 toh 🔥,0
🍺 🌿 💨 😎,1
find crack dealer yaar 🔥,1
acid tabs ka contact hai kya,1
are you online,0
maal yaar ka delivery kidhar 😂 😍 😎,1
pot chahiye aaj hi 😂,1
i ll talk to na you later,0
send me toh the file when ready 😢,0
md pills ka stock hai 🔥,1
💉💉💉 🤔,1
💊🥃 toh yaar 😎 😎,1
re 🌋🏞️🌅🌄 😎,0
bring ecstasy tabs,1
🦃🐓🦚 🔥,0
telephone na charge karna 😢,0
message late reply hua sorry toh 🙏 😢,0
give me yaar meth yaar powder 😂,1
🪳🦟🦗,0
Movie tickets are booked for tomorrow.,0
good toh morning na 🌞 kaise na ho,0
baad mein baat karte yaar yaar re hain 🔥 💯,0
project na par yaar accha kaam kiya 😂 😎,0
i can buy cannabis easily 🔥 💯,1
kya tum link bhej sakte ho,0
ecstasy re ka package bhejna,1
are you free to talk yaar 😂,0
yaar find toh dealer yaar now,1
kitna time re lagega,0
hum kahan milen 😎 😍,0
dealer kidhar toh yaar milega,1
i ll pay for some grass 🤔 🤔,1
do you deal in weed,1
bargain ecstasy tablets 💯,1
🥴🚬,1
sodium don t forget to reply,0
i will message you later,0
yaar 💊🥃 re 😎,1
please help Maine with this,0
please listen carefully 😂,0
re na 🍎🍊🍌🍉 🔥,0
find narcotics guy,1
smack laa na de bhayaa 😎,1
slap laa de bhai,1
dope ka supply toh chahiye,1
🍄🌌,1
tumse baat karke re accha laga,0
diacetylmorphine ka package bhej 😢,1
i m about there,0
yaar 🚬🍹,1
"Congratulations! You have won 1 lakh rupees, claim now at http://freeprize.com.",1
brown yaar sugar flex 🫠 available 🤲 hai 😌 ✨ 🤞 kya 😎,1
yaar toh rhenium 🍣🍤🍱🥟 toh 😎,0
🚬🌿💨,1
na 🥌⛳🏹🎯 toh re 🤔,0
i ll re be online later 😢 😎,0
please delay outside,0
are you free this re yaar weekend 😂,0
khaana bohot tasty tha 😋,0
dope laa ke dega,1
how re na na is your family 😢,0
don t forget to log out 😂,0
are you free this weekend 😂 😍,0
🐡🦈🐬,0
na re 💊💉,1
⚓🚤⛵🛶 😢,0
looking for pills 🤔 😢,1
yaar yaar dawa lena,0
🔥🚬,1
Movie tickets are booked for tomorrow.,0
train late hai toh 🚆😓,0
chalo jaldi milte na hain 😍,0
toh yaar station pe milte hain,0
got marijuana toh bags re 🔥 😎,1
dawa lena 😢 😎,0
re 🍄🌀 🔥,1
let s watch tv 😍,0
💉💀,1
Update your KYC immediately or your account will be blocked.,1
can you share the meeting link 😢,0
😵🚬,1
re 🌋🏞️🌅🌄 💯,0
toh subah call re yaar karna,0
🌌🍄,1
re who s yaar selling dope,1
party kab Delaware rahe yaar ho 🥳🍻,0
aaj gym gaya tha 💪🏋️ 🔥,0
🖨️🕹️💾💿 😎,0
please join na us re soon 😂,0
ganja toh party ke liye fix kar,1
Good morning 🌞✨,0
The package was delivered safely.,0
any white stuff left 💯,1
jald milte hain,0
mendelevium pills ka rate kya hai 😍,1
rhenium 🌋🏞️🌅🌄 😎,0
diacetylmorphine ka packet bhej 💯 😎,1
Bhai kal cricket match khelenge.,0
rhenium toh 🚬💉🍷 😂,1
re yaar main snacks le aunga,0
supply toh lsd quietly 💯,1
🔮🍄,1
toh lsd ka source chahiye 😢,1
how is na everything 😍,0
kal lsd tabs lupus yaar na erythematosus aana 🤔,1
🏖️🏝️🏜️🏕️,0
please open the window,0
bash you yaar sell toh mollie na 😢,1
do you sell molly,1
chalo kuch khana order karte hain 💯,0
toh hash ka number bhejna 🔥,1
ganja yaar bhej fast,1
any coke powder,1
Send me your OTP immediately.,1
ab thik ho toh yaar na,0
yaar re 💊🚬🍾 🔥,1
"Dinner is ready, come fast.",0
🎉🍕🍻 party kal!,0
got na anything stronger 🤔,1
brown sugar ka yaar jugad hai kya 😢,1
na book padh na raha hu 📚,0
main almost pahunch gaya hoon 😢,0
"Kal ka maal ready hai, cash only.",1
how is re your family,0
hum toh kahan yaar milen,0
💀💉 😂 na 😢,1
yaar 💉😶‍🌫️,1
smack rhenium ka delivery kar 😎,1
na good evening everyone,0
🤯💉,1
cannabis laa yaar ke bash 🤔,1
are yaar you ready 🤔 🤔 😢,0
rhenium 💊💉,1
apna khyal rakhna,0
💊🥃,1
toh toh hello bro 😃 kya haal hai,0
are re you free this yaar weekend 😂,0
give me meth powder 😂 😎,1
i ll talk to yaar you later,0
iodine will come tomorrow,0
call me once re you reach home 😍,0
did you watch the cricket match yesterday 💯,0
please wait outside,0
invite karne ke liye thanks,0
good work well yaar make,0
🍄💊💉 💯,1
searching for re heroin seek seller,1
can we meet for lunch 🔥,0
dope ka rate kya hai 🔥 toh na 😢,1
🚬💉,1
💉 🍺 😎,1
buying drug cheap,1
looking for toh pills 🔥,1
🥁🎷🎺🎸,0
Good morning 🌞✨,0
i ll rhenium yaar buy lsd blotters,1
kal cricket practice hai 🏏💯 💯,0
re main ticket le lunga,0
Click here to win a free iPhone 🎁.,1
na 🥪🥞🧇🥯,0
toh 🦁🐮🐷🐽 😂 🔥,0
booking confirm karna 😍,0
acid re tabs ka jugad hai re 😂,1
pot ka rate kya hai 🔥,1
na good work well yaar re done,0
hash laa fast,1
ecstasy pills kidhar toh yaar milenge 😍 😎 😂,1
happy birthday wishing you lots of joy,0
heroin toh ka connection hai,1
smack ka source re chahiye,1
make you enjoy the movie 🤔,0
🔒🔑🗝️ 😍,0
"Police check hoga kal, sab chhupa dena.",1
call me when you are free,0
Mummy ne bola ghar jaldi aaja.,0
🥝🍑🍐🍒 😎,0
free hote re hi baat karna 😍,0
don t be late tomorrow,0
molly ka scene yaar banwa 😢,1
party ke liye drugs chahiye,1
The package was delivered safely.,0
🛕🕋 🔥 😍,0
namaste aap na kaise na ho 🔥 😎,0
re 🍄🍷 💯,1
Click here to win a free iPhone 🎁.,1
iodine ll be online later 😂,0
hash yaar laa fast re 😢,1
can toh na you share the meeting link 😢 🤔,0
ganja cheap milta hai kya 😍,1
📱💻🖥️⌨️ 💯,0
bargain powder yaar cheap,1
good toh night everyone 😍,0
re school mein milte hain 😍 🔥,0
bring me ecstasy pills 🔥,1
crystal meth ka jugad kar,1
🌿🚬💊 😂 😎,1
yaar 💊😶‍🌫️,1
main almost pahunch gaya hoon 😢 😢,0
do you know any drug dealer 😍,1
any mollie party,1
smack chahiye jaldi 😂,1
sodium 🚒🚐🚚🚛,0
Urgent: transfer money to this account now.,1
ecstasy ka number de 🔥 😍,1
⚖️🧰🪚,0
na toh 🚜🛺🚲🛵,0
yaar 🍄😈 💯 💯,1
Click here to win a free iPhone 🎁.,1
rhenium main almost pahunch re gaya hoon,0
don t forget to save the re file,0
aaj vacation yaar hai yaar 🎉,0
don t forget to reply 😎,0
are you online 😎 😎,0
let s return a photo,0
tu maal Ka kaam re karta hai 🔥,1
toh how is your family,0
can you aid me with this assignment,0
Send me your credit card details right now.,1
re 🔥🚬,1
na photo mast aayi hai 📸🔥,0
kal rhenium raat coke chahiye,1
any drug available approach 🤔,1
any salty 🔥 🤞 👐 coke 💯 powder 🤟 😢,1
book padh na raha hu 📚 😂,0
The package was delivered safely.,0
bash you sell mollie na 😢,1
Urgent: transfer money to this account now.,1
i can bargain cannabis easily,1
hash ka scene hai kya aaj 🤔,1
coke ka package bhejna yaar 😍,1
bargain ecstasy tablets 💯 😍,1
i will electronic mail you the details,0
lsd party ke liye chahiye,1
⚓🚤⛵🛶,0
yaar 🍸🌿,1
🌿💉 😢,1
yaar hash ka scene hai kya aaj,1
don t worry be happy,0
toh arrange crack toh pack 😍,1
Send me your credit card details right now.,1
pot Ka scene banwa na 💯,1
want drug bro,1
are you busy right now,0
🍸💨,1
"Your account has been suspended, click here to restore access.",1
🏥🏦🏨🏪,0
Movie tickets are booked for tomorrow.,0
bro maal ready hai,1
kya tumhe movie acchi lagi,0
yatra ke liye shubhkamnayein 😢 😎,0
thank you for rhenium your kindness 😎,0
yaar dealer call me 😍 😂,1
thank you yaar for your kindness,0
toh re 🍣🍤🍱🥟 toh 😎 toh 😍,0
College ka project submit karna hai.,0
🥴🚬 re 😂,1
🐶🐱🐭🐹,0
best of fortune dost,0
brand you enjoy the movie 🤔,0
interview ke liye best of luck 😢,0
i will send the link,0
smack laa de bhai,1
looking for pills 😍,1
ecstasy yaar bhej abhi 🤔,1
😊😇🙂🙃 re 😢,0
find na heroin supply 💯,1
goodbye see you tomorrow,0
i will yaar explain tomorrow,0
i sodium ll buy lysergic acid diethylamide blotters,1
kal samjhaoge 💯 🤔 😎 😂,0
isme help karna please,0
kya busyness meeting reschedule karein,0
💊🥃 😎,1
🚬🍄💊,1
rhenium subah call karna,0
aapka din accha holmium 💯,0
i m almost there,0
nice dress 👗👌 😍 😢,0
i can push some stuff 💯,1
phir selenium samjha yaar sakte holmium,0
md pills ka stock hai 😎,1
got the stash na hidden,1
find crack dealer 🔥,1
re 🐌🐞🐜 😢,0
give me meth yaar powder 😂,1
na 🪶🐾,0
good luck re with your work 😢,0
toh 🚬💉,1
Click here to win a free iPhone 🎁.,1
🪳🦟🦗 😂 🔥,0
please return your medicine 🤔,0
Movie tickets are booked for tomorrow.,0
call me once you reach home,0
🤤😴😪😌,0
project na par accha kaam kiya 😂 🔥,0
Good morning 🌞✨,0
yaar 💉🍄 🤔,1
abhi tak jaage ho,0
na re na 🐻‍❄️🐨🐯,0
work ke liye all the best,0
slap Ka jugad urgently,1
re are you ready,0
na yaar smack ka delivery kar,1
tum rhenium na thik ho re na 😢 😢 😂,0
💊💉 drugs ready hai,1
toh send re me the payment details 😍,0
Boss asked for the report right now.,0
how beryllium everything 😍,0
kya tum ghar par ho 🔥,0
yaar re 🦙🦒🐘🦏,0
😢 dope ke wig 🫠 toh 😌 packets yaar need,1
yaar hash ka toh scene hai kya aaj,1
i will yaar explain toh tomorrow 😎,0
maa knockout call karna mat bhoolna,0
lsd ka connection hai yaar kya 😢 🤔,1
call Maine inch na the morning,0
re 🚬🍷💊 😂,1
baad mein baat karte yaar yaar rhenium hain,0
hash ke toh contacts bhej 😢 🔥,1
are you free this weekend 😎,0
toh hash ka number bhejna,1
na how beryllium everything 🤔 😎,0
sell cannabis bags,1
Call me back as soon as you see this.,0
🤯💊,1
music sun raha re hu 🎶🎧 na 💯 😢 🔥,0
🙏🔥💯,0
order molly pills,1
get marijuana bag,1
rhenium 🌿🍺💨 🤔 💯,1
how be everything 😍 🔥,0
dhyan toh se sunna,0
i can buy cannabis easily,1
na toh yaar 😵‍💫💊 😢,1
🌿😶‍🌫️,1
park mein milte hain,0
aaj holiday yaar hai 🎉 😂,0
aap re na thik ho re na 😢 😢 😂,0
darwaza band sodium karna,0
main bohot tired hoon,0
i re ll yaar call you soon 🤔 😎,0
🍣🍤🍱🥟 🤔 🤔,0
invite karne ke liye thanks 😢,0
Bhai urgent maal chahiye kal tak de.,1
Let's meet tomorrow at the park.,0
🌬️🚬 🔥 🤔 yaar 😢,1
re let second observe together,0
🚬🚬,1
"Black money safe hai, tension mat le.",1
